Episode 0: 6.57521s
Episode 1: 18.5728s
Episode 2: 26.9361s
Episode 3: 39.2589s
Episode 4: 51.5698s
         4570157 function calls (4444311 primitive calls) in 53.743 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      220    0.004    0.000    0.004    0.000 {built-in method ones_like}
      554    0.001    0.000    0.004    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/numpy/core/fromnumeric.py:38(_wrapit)
     2000    0.004    0.000    0.004    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/numpy/core/_methods.py:106(_clip_dep_invoke_with_casting)
     1100    0.002    0.000    0.004    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/_tensor.py:676(__len__)
     2003    0.003    0.000    0.004    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/numpy/core/getlimits.py:457(__new__)
       25    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:916(get_code)
     3099    0.003    0.000    0.004    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/modules/module.py:1621(named_children)
     4556    0.004    0.000    0.004    0.000 {built-in method numpy.asarray}
      880    0.004    0.000    0.004    0.000 {built-in method torch._ops.profiler._record_function_exit}
     1555    0.004    0.000    0.004    0.000 {method 'reshape' of 'numpy.ndarray' objects}
      220    0.001    0.000    0.003    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/utils/data/sampler.py:85(__init__)
      446    0.003    0.000    0.003    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/yaaf/policies/__init__.py:41(random_policy)
4180/3960    0.003    0.000    0.003    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/utils/data/dataloader.py:345(__setattr__)
      478    0.002    0.000    0.003    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/modules/rnn.py:126(__setattr__)
    13217    0.003    0.000    0.003    0.000 {method 'acquire' of '_multiprocessing.SemLock' objects}
     1000    0.002    0.000    0.003    0.000 /home/filipesousa/Documents/GitHub/ad-hoc-deep-learning/src/lib/ATPO_policy.py:167(remember)
        1    0.000    0.000    0.003    0.003 /home/filipesousa/.local/lib/python3.9/site-packages/sklearn/model_selection/__init__.py:1(<module>)
      440    0.003    0.000    0.003    0.000 {method 'random_' of 'torch._C._TensorBase' objects}
      554    0.000    0.000    0.003    0.000 <__array_function__ internals>:177(put)
       55    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:901(_find_spec)
     4000    0.002    0.000    0.003    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/numpy/core/_methods.py:101(_clip_dep_is_byte_swapped)
        1    0.000    0.000    0.003    0.003 /home/filipesousa/.local/lib/python3.9/site-packages/yaaf/agents/dqn/DQNAgent.py:19(__init__)
      554    0.000    0.000    0.003    0.000 <__array_function__ internals>:177(nonzero)
      889    0.000    0.000    0.003    0.000 /usr/lib/python3.9/abc.py:117(__instancecheck__)
     2008    0.002    0.000    0.003    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/numpy/core/numerictypes.py:282(issubclass_)
      220    0.001    0.000    0.002    0.000 {built-in method builtins.all}
      454    0.002    0.000    0.002    0.000 {built-in method empty}
     1012    0.002    0.000    0.002    0.000 {built-in method numpy.array}
      220    0.001    0.000    0.002    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/functional.py:46(broadcast_tensors)
      889    0.001    0.000    0.002    0.000 {built-in method _abc._abc_instancecheck}
        2    0.000    0.000    0.002    0.001 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/modules/rnn.py:133(flatten_parameters)
       55    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1406(find_spec)
       55    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1374(_get_spec)
    24541    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
    26026    0.002    0.000    0.002    0.000 {built-in method torch._C._has_torch_function_unary}
       25    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
     3174    0.001    0.000    0.002    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/_tensor.py:706(__hash__)
       25    0.002    0.000    0.002    0.000 {built-in method marshal.loads}
      554    0.000    0.000    0.002    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/numpy/core/fromnumeric.py:1866(nonzero)
      554    0.000    0.000    0.002    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/numpy/core/fromnumeric.py:486(put)
       58    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1505(find_spec)
     1000    0.002    0.000    0.002    0.000 {method 'numpy' of 'torch._C._TensorBase' objects}
