Episode 0: 3.31092s
Episode 1: 11.1919s
Episode 2: 19.8075s
Episode 3: 27.6878s
Episode 4: 35.88s
         4956584 function calls (4830750 primitive calls) in 37.703 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.019    0.019 /home/filipesousa/.local/lib/python3.9/site-packages/gym/envs/classic_control/__init__.py:1(<module>)
        1    0.000    0.000    0.017    0.017 /home/filipesousa/.local/lib/python3.9/site-packages/gym/envs/classic_control/cartpole.py:1(<module>)
     7260    0.005    0.000    0.017    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/utils/data/sampler.py:107(__iter__)
 1768/442    0.004    0.000    0.017    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/modules/module.py:1713(train)
      220    0.002    0.000    0.017    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/utils/data/_utils/fetch.py:49(<listcomp>)
        1    0.000    0.000    0.017    0.017 /home/filipesousa/.local/lib/python3.9/site-packages/pygame/__init__.py:21(<module>)
     3066    0.016    0.000    0.016    0.000 {method 'zero_' of 'torch._C._TensorBase' objects}
      220    0.001    0.000    0.015    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/modules/loss.py:528(forward)
     7040    0.015    0.000    0.015    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/yaaf/models/utils.py:129(__getitem__)
      220    0.002    0.000    0.014    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/functional.py:3234(mse_loss)
    53/50    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
    28/26    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1171(create_module)
      220    0.001    0.000    0.012    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/yaaf/memory/ExperienceReplayBuffer.py:17(sample)
    12217    0.008    0.000    0.012    0.000 <string>:2(getvalue)
  880/220    0.004    0.000    0.012    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/modules/module.py:1294(state_dict)
    28/26    0.011    0.000    0.012    0.000 {built-in method _imp.create_dynamic}
        9    0.000    0.000    0.012    0.001 /home/filipesousa/.local/lib/python3.9/site-packages/torch/cuda/__init__.py:76(is_available)
       14    0.012    0.001    0.012    0.001 {built-in method torch._C._cuda_getDeviceCount}
     1000    0.012    0.000    0.012    0.000 {method 'uniform' of 'numpy.random.mtrand.RandomState' objects}
      220    0.004    0.000    0.012    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/utils/data/dataloader.py:166(__init__)
      550    0.001    0.000    0.012    0.000 <__array_function__ internals>:177(argwhere)
      880    0.003    0.000    0.012    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/autograd/profiler.py:435(__enter__)
      220    0.005    0.000    0.011    0.000 /usr/lib/python3.9/random.py:374(sample)
     4551    0.003    0.000    0.011    0.000 <__array_function__ internals>:177(ndim)
      550    0.001    0.000    0.011    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/numpy/core/numeric.py:571(argwhere)
37176/36074    0.006    0.000    0.011    0.000 {built-in method builtins.len}
    21532    0.009    0.000    0.011    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/_tensor.py:1092(grad)
     2000    0.003    0.000    0.010    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/yaaf/policies/__init__.py:87(linear_annealing)
      220    0.000    0.000    0.010    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/utils/data/_utils/collate.py:172(<listcomp>)
      554    0.001    0.000    0.010    0.000 <__array_function__ internals>:177(amax)
      220    0.000    0.000    0.010    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/utils/data/dataloader.py:355(__iter__)
     6000    0.003    0.000    0.010    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/yaaf/agents/Agent.py:124(trainable)
      220    0.000    0.000    0.010    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/utils/data/dataloader.py:309(_get_iterator)
        1    0.000    0.000    0.010    0.010 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/modules/rnn.py:664(__init__)
