Episode 0: 2.34267s
Episode 1: 7.95833s
Episode 2: 14.4301s
Episode 3: 20.4294s
Episode 4: 26.5074s
         4797143 function calls (4671382 primitive calls) in 26.557 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    52/49    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
37129/36029    0.007    0.000    0.013    0.000 {built-in method builtins.len}
      220    0.004    0.000    0.013    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/utils/data/dataloader.py:166(__init__)
        1    0.000    0.000    0.013    0.013 /home/filipesousa/.local/lib/python3.9/site-packages/yaaf/models/TorchModel.py:145(check_initialization)
        1    0.000    0.000    0.013    0.013 /home/filipesousa/.local/lib/python3.9/site-packages/yaaf/models/TorchModel.py:159(_deploy_to_device)
        1    0.000    0.000    0.013    0.013 /home/filipesousa/.local/lib/python3.9/site-packages/torch/cuda/__init__.py:76(is_available)
      220    0.005    0.000    0.013    0.000 /usr/lib/python3.9/random.py:374(sample)
        1    0.013    0.013    0.013    0.013 {built-in method torch._C._cuda_getDeviceCount}
      880    0.013    0.000    0.013    0.000 {built-in method torch._ops.profiler._record_function_enter}
      530    0.001    0.000    0.013    0.000 <__array_function__ internals>:177(argwhere)
    28/26    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1171(create_module)
    28/26    0.011    0.000    0.012    0.000 {built-in method _imp.create_dynamic}
     4531    0.003    0.000    0.012    0.000 <__array_function__ internals>:177(ndim)
    21518    0.010    0.000    0.012    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/_tensor.py:1092(grad)
     2000    0.003    0.000    0.012    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/yaaf/policies/__init__.py:87(linear_annealing)
      530    0.001    0.000    0.011    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/numpy/core/numeric.py:571(argwhere)
      220    0.000    0.000    0.011    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/utils/data/dataloader.py:355(__iter__)
      880    0.002    0.000    0.011    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/autograd/profiler.py:426(__init__)
      220    0.000    0.000    0.011    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/utils/data/dataloader.py:309(_get_iterator)
     6000    0.003    0.000    0.011    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/yaaf/agents/Agent.py:124(trainable)
      534    0.001    0.000    0.011    0.000 <__array_function__ internals>:177(amax)
      222    0.000    0.000    0.011    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/modules/module.py:1735(eval)
      880    0.006    0.000    0.011    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/modules/module.py:1257(_save_to_state_dict)
      220    0.001    0.000    0.011    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/utils/data/dataloader.py:560(__init__)
      220    0.010    0.000    0.010    0.000 {built-in method torch._C._nn.mse_loss}
      220    0.000    0.000    0.010    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/utils/data/_utils/collate.py:172(<listcomp>)
        1    0.000    0.000    0.010    0.010 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/modules/rnn.py:664(__init__)
        1    0.000    0.000    0.010    0.010 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/modules/rnn.py:39(__init__)
        1    0.000    0.000    0.009    0.009 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/modules/rnn.py:193(reset_parameters)
       13    0.000    0.000    0.009    0.001 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/init.py:122(uniform_)
       13    0.000    0.000    0.009    0.001 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/init.py:12(_no_grad_uniform_)
       14    0.009    0.001    0.009    0.001 {method 'uniform_' of 'torch._C._TensorBase' objects}
      880    0.003    0.000    0.009    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/autograd/profiler.py:439(__exit__)
      534    0.001    0.000    0.009    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/numpy/core/fromnumeric.py:2675(amax)
      220    0.003    0.000    0.008    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/utils/data/dataloader.py:494(__init__)
     1844    0.006    0.000    0.008    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/modules/module.py:1188(__setattr__)
      440    0.008    0.000    0.008    0.000 {built-in method randperm}
      440    0.008    0.000    0.008    0.000 {built-in method stack}
     5217    0.002    0.000    0.008    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/yaaf/agents/Agent.py:131(total_training_timesteps)
      541    0.002    0.000    0.008    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/numpy/core/fromnumeric.py:69(_wrapreduction)
      880    0.001    0.000    0.008    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/utils/data/sampler.py:100(num_samples)
    60634    0.008    0.000    0.008    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/_jit_internal.py:957(is_scripting)
      220    0.007    0.000    0.007    0.000 {method 'mean' of 'torch._C._TensorBase' objects}
     2000    0.007    0.000    0.007    0.000 {built-in method builtins.round}
     1100    0.001    0.000    0.007    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/yaaf/models/utils.py:126(__len__)
      220    0.002    0.000    0.007    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/yaaf/models/utils.py:100(__init__)
     4531    0.005    0.000    0.007    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/numpy/core/fromnumeric.py:3164(ndim)
     3094    0.002    0.000    0.006    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/modules/module.py:1612(children)
      880    0.006    0.000    0.006    0.000 {built-in method torch._ops.profiler._record_function_exit}
      530    0.000    0.000    0.006    0.000 <__array_function__ internals>:177(transpose)
     7064    0.004    0.000    0.006    0.000 /usr/lib/python3.9/random.py:237(_randbelow_with_getrandbits)
      530    0.000    0.000    0.005    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/numpy/core/fromnumeric.py:601(transpose)
      541    0.005    0.000    0.005    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     1000    0.004    0.000    0.005    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/gym/spaces/discrete.py:30(contains)
     1100    0.003    0.000    0.005    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/_tensor.py:676(__len__)
     1004    0.002    0.000    0.005    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/numpy/core/numerictypes.py:356(issubdtype)
        1    0.000    0.000    0.005    0.005 /home/filipesousa/.local/lib/python3.9/site-packages/yaaf/agents/dqn/DQNAgent.py:19(__init__)
     2000    0.004    0.000    0.004    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/numpy/core/_methods.py:106(_clip_dep_invoke_with_casting)
      477    0.002    0.000    0.004    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/modules/rnn.py:126(__setattr__)
      220    0.002    0.000    0.004    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/autograd/__init__.py:30(_make_grads)
     3094    0.003    0.000    0.004    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/modules/module.py:1621(named_children)
     2003    0.003    0.000    0.004    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/numpy/core/getlimits.py:457(__new__)
      530    0.001    0.000    0.004    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/numpy/core/fromnumeric.py:38(_wrapit)
     1531    0.004    0.000    0.004    0.000 {method 'reshape' of 'numpy.ndarray' objects}
     4532    0.004    0.000    0.004    0.000 {built-in method numpy.asarray}
      470    0.003    0.000    0.004    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/yaaf/policies/__init__.py:41(random_policy)
      220    0.001    0.000    0.004    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/utils/data/sampler.py:85(__init__)
      220    0.001    0.000    0.004    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/functional.py:46(broadcast_tensors)
    13217    0.004    0.000    0.004    0.000 {method 'acquire' of '_multiprocessing.SemLock' objects}
       24    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:916(get_code)
4180/3960    0.003    0.000    0.003    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/utils/data/dataloader.py:345(__setattr__)
    304/2    0.000    0.000    0.003    0.002 /usr/lib/python3.9/copy.py:128(deepcopy)
     44/2    0.000    0.000    0.003    0.002 /usr/lib/python3.9/copy.py:258(_reconstruct)
     10/2    0.000    0.000    0.003    0.002 /usr/lib/python3.9/copy.py:226(_deepcopy_dict)
        1    0.000    0.000    0.003    0.003 /home/filipesousa/.local/lib/python3.9/site-packages/sklearn/model_selection/__init__.py:1(<module>)
     1000    0.002    0.000    0.003    0.000 /home/filipesousa/Documents/GitHub/ad-hoc-deep-learning/src/lib/ATPO_policy.py:167(remember)
      889    0.000    0.000    0.003    0.000 /usr/lib/python3.9/abc.py:117(__instancecheck__)
      530    0.000    0.000    0.003    0.000 <__array_function__ internals>:177(put)
     4000    0.002    0.000    0.003    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/numpy/core/_methods.py:101(_clip_dep_is_byte_swapped)
      440    0.003    0.000    0.003    0.000 {method 'random_' of 'torch._C._TensorBase' objects}
     2008    0.002    0.000    0.003    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/numpy/core/numerictypes.py:282(issubclass_)
      530    0.000    0.000    0.003    0.000 <__array_function__ internals>:177(nonzero)
      880    0.003    0.000    0.003    0.000 {method 'item' of 'torch._C._TensorBase' objects}
       54    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:901(_find_spec)
      220    0.001    0.000    0.003    0.000 {built-in method builtins.all}
     1012    0.003    0.000    0.003    0.000 {built-in method numpy.array}
      454    0.003    0.000    0.003    0.000 {built-in method empty}
